1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,R,I,A,S,E,C,Class
2,3,1,2,2,4,1,3,4,1,2,2,1,3,2,2,3,3,4,4,4,3,1,1,2,1,1,2,1,2,2,2,1,1,2,2,4,4,3,1,4,4,3,2,2,1,1,2,1,1,4,3,3,2,22,19,21,15,27,18,E
3,2,3,4,0,2,1,1,1,3,3,3,3,3,3,3,2,2,3,4,3,2,2,0,2,3,1,4,4,4,3,3,3,4,4,3,4,3,4,3,3,3,3,3,2,2,2,2,0,3,3,3,3,2,17,25,20,32,28,20,S
1,1,1,2,1,2,0,0,0,2,0,0,0,0,3,1,2,1,2,2,2,0,0,0,0,0,0,1,1,1,1,2,1,2,2,1,2,1,1,0,2,3,2,3,1,0,3,2,2,2,2,2,2,2,8,9,6,12,15,17,C
2,3,2,0,2,0,0,3,2,2,2,2,2,2,1,0,2,2,3,1,3,0,3,0,3,2,2,2,2,3,2,3,3,3,3,2,2,3,2,2,2,2,0,2,2,0,2,3,2,2,2,3,3,2,14,15,17,23,17,19,S
1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,2,0,2,0,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,0,2,1,0,1,2,2,2,1,14,14,12,13,10,11,R
2,2,3,1,0,1,1,2,1,3,2,2,1,2,2,2,1,1,2,1,4,1,0,0,1,2,2,3,1,3,2,2,1,1,1,1,0,2,2,1,3,2,2,4,4,2,2,2,2,1,2,3,2,2,13,16,13,15,20,18,E
2,3,1,1,0,2,2,1,1,1,2,3,1,1,1,3,1,2,4,1,2,0,0,0,1,1,1,3,2,3,2,4,2,1,2,2,0,0,1,1,2,3,1,2,1,1,1,1,1,0,2,2,2,1,13,15,10,21,11,11,S
3,3,3,2,3,4,2,3,4,2,3,3,2,3,3,4,2,3,4,4,4,3,3,2,3,4,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,1,2,2,2,3,2,2,2,3,2,2,27,25,29,26,21,20,A
2,2,1,2,0,0,3,1,2,2,1,1,0,0,2,2,1,1,2,1,3,1,1,1,3,3,1,3,4,4,2,3,3,3,3,3,1,4,4,3,1,3,1,3,4,3,4,3,1,3,3,3,3,1,13,10,16,28,24,24,S
2,3,4,2,0,3,2,2,3,2,3,3,2,2,2,3,3,2,2,3,4,2,1,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,22,24,36,36,36,S
